applicant_id,age,annual_income,employment_years,credit_score,loan_amount,applicant_group,region,approved
1,21,864000,0,705,357000,A,south,1
2,40,1069000,2,666,1881000,A,north,0
3,35,466000,1,631,662000,B,west,0
4,47,541000,4,658,474000,B,south,0
5,36,833000,2,668,1658000,B,west,0
6,52,890000,9,610,1483000,B,north,0
7,41,529000,5,743,1286000,B,north,0
8,38,1020000,7,656,763000,A,east,1
9,40,1198000,3,661,2029000,A,east,0
10,33,829000,3,778,849000,A,south,1
11,39,732000,6,619,398000,B,north,0
12,38,568000,4,628,1027000,A,south,0
13,21,722000,0,689,1277000,B,east,0
14,39,718000,4,653,1678000,B,south,0
15,45,938000,3,520,620000,B,east,0
16,35,579000,2,555,1235000,B,north,0
17,33,725000,4,679,887000,A,east,0
18,40,682000,1,630,445000,B,north,0
19,47,884000,7,627,1175000,B,south,0
20,34,566000,5,717,487000,A,south,0
21,32,741000,2,641,977000,B,north,0
22,42,791000,6,748,1469000,B,east,0
23,47,698000,1,697,637000,B,west,0
24,36,451000,3,691,1154000,B,north,0
25,32,720000,4,750,1589000,B,north,0
26,35,784000,5,672,1694000,B,west,0
27,35,962000,1,801,863000,A,north,1
28,26,996000,1,721,2235000,A,west,0
29,34,602000,4,663,741000,A,east,0
30,25,854000,1,670,1002000,B,east,0
31,51,640000,10,753,981000,B,south,1
32,47,1011000,2,704,589000,A,north,1
33,35,987000,6,653,1679000,A,north,0
34,46,917000,9,688,916000,A,south,1
35,42,710000,8,502,353000,A,east,0
36,43,820000,5,633,1645000,A,north,0
37,38,956000,7,712,2433000,A,east,0
38,40,924000,4,629,471000,A,east,0
39,40,863000,4,543,1636000,B,east,0
40,43,966000,10,725,458000,A,north,1
41,44,808000,5,571,1385000,A,west,0
42,44,923000,3,691,1691000,A,north,0
43,55,737000,11,652,362000,A,north,0
44,28,755000,2,524,960000,B,north,0
45,50,1084000,8,518,1484000,B,west,0
46,44,781000,3,707,1884000,B,west,0
47,45,908000,1,617,1474000,A,north,0
48,47,1025000,11,546,684000,A,south,0
49,37,842000,7,657,670000,A,east,0
50,44,759000,4,726,1526000,A,south,0
51,44,909000,4,606,1544000,B,north,0
52,37,970000,5,721,950000,B,west,1
53,34,719000,4,656,649000,B,east,0
54,38,451000,6,628,183000,A,south,0
55,29,933000,3,697,2249000,A,west,0
56,23,880000,0,620,2007000,B,north,0
57,43,691000,10,709,1006000,A,north,0
58,40,792000,1,757,1748000,A,east,1
59,44,1082000,7,727,2554000,A,north,1
60,27,1171000,1,705,2985000,A,west,0
61,29,889000,3,779,1411000,A,south,1
62,51,1108000,5,638,958000,A,east,0
63,38,668000,5,678,1511000,B,south,0
64,55,985000,13,517,1077000,A,east,0
65,36,592000,1,617,1370000,B,west,0
66,28,964000,3,707,1483000,A,east,1
67,33,853000,4,684,1967000,B,south,0
68,30,970000,3,595,1012000,B,south,0
69,50,695000,4,613,341000,B,north,0
70,44,752000,7,652,556000,A,east,0
71,26,900000,1,694,2029000,B,west,0
72,37,1002000,6,664,2465000,A,north,0
73,32,838000,1,688,849000,A,west,0
74,21,504000,0,696,1222000,A,south,0
75,25,1051000,1,740,2616000,A,east,1
76,43,726000,9,594,1392000,A,west,0
77,29,454000,1,736,561000,A,north,0
78,44,1084000,9,498,2733000,A,north,0
79,31,642000,1,752,426000,B,west,1
80,42,951000,3,673,1087000,A,west,0
81,25,700000,0,701,522000,B,west,0
82,36,1021000,7,690,2569000,A,east,0
83,38,731000,5,574,944000,B,east,0
84,45,749000,11,655,1431000,A,east,0
85,50,913000,4,768,1733000,A,north,1
86,31,717000,2,724,1190000,B,south,0
87,31,1037000,2,548,861000,B,east,0
88,52,731000,5,724,1663000,A,north,0
89,39,807000,6,637,2017000,B,west,0
90,36,1306000,3,716,1078000,A,south,1
91,28,721000,1,569,1059000,B,north,0
92,43,578000,5,733,403000,B,west,0
93,30,778000,2,641,1501000,B,south,0
94,37,1034000,4,538,1479000,A,west,0
95,43,292000,5,651,316000,B,north,0
96,37,705000,3,754,342000,A,north,1
97,32,601000,0,699,1066000,B,north,0
98,40,577000,4,617,1380000,B,north,0
99,29,500000,1,672,372000,B,east,0
100,40,1178000,2,694,531000,B,east,1
101,32,773000,3,631,358000,B,east,0
102,42,802000,1,629,571000,A,north,0
103,38,987000,5,598,1285000,A,south,0
104,40,964000,4,811,2088000,A,north,1
105,46,946000,7,830,2296000,A,east,1
106,35,1128000,3,744,1680000,A,north,1
107,35,956000,3,599,1141000,A,east,0
108,31,1068000,2,715,2710000,A,east,0
109,43,1009000,7,614,557000,B,south,0
110,56,1334000,2,682,745000,A,north,1
111,28,618000,2,740,1518000,A,north,0
112,31,601000,1,673,1534000,A,west,0
113,35,770000,2,652,1163000,A,west,0
114,41,618000,5,749,1048000,A,south,1
115,44,991000,6,789,1814000,A,west,1
116,37,773000,4,664,1570000,A,west,0
117,49,807000,3,826,581000,B,east,1
118,38,1083000,5,607,2764000,B,north,0
119,33,770000,3,631,1761000,B,west,0
120,40,843000,6,806,854000,B,east,1
